  107,734997,735114,2.7081,0.165,0.166,0
  753,735060,735114,1.2573,0.028,0.034,0
 3261,734998,735115,0.7172,0.034, Inf,0
    7,735068,735114,1.6259,0.052,0.064,0
  226,734997,735114,1.7904,0.039,0.099,0
  478,734997,735114,1.4796,0.020,0.078,0
 2465,735068,735115,0.8532,0.044,0.077,0
 4006,734998,735115,0.4487,0.005,0.028,0
 2988,735062,735115,0.2054,0.007,0.021,0
 1234,734997,735114,1.2533,0.016,0.066,0
 1324,734997,735114,0.9374,0.073,0.112,0
 2777,734998,735115,0.7355,0.034,0.078,0
 3762,734998,735115,0.6707,0.033,0.051,0
 4085,735000,735115,0.5201,0.016,0.032,0
 5621,735000,735115,0.5362,0.050,0.056,0
 1394,734996,735114,0.8862,0.015,0.062,0
 4908,735000,735115,0.4921,0.006,0.022,0
