  107,733902,733978,1.5539,0.061,0.061,0
  753,733902,733978,1.4335,0.049,0.051,0
 4349,733906,733979,0.7627,0.007,0.096,0
  226,733902,733978,1.8423,0.010,0.068,0
  478,733902,733978,1.7180,0.031,0.072,0
 4006,733903,733979,0.9230,0.009,0.139,0
 1234,733901,733978,1.4595,0.018,0.067,0
 1324,733901,733978,1.3320,0.007,0.119,0
 2777,733903,733978,1.2718,0.012,0.051,0
 3762,733902,733979,0.9207,0.003,0.116,0
 4085,733905,733979,0.8099,0.039,0.131,0
 5621,733906,733979,0.8735,0.003,0.110,0
 1394,733901,733978,1.5948,0.008,0.059,0
 4908,733905,733979,0.8082,0.008,0.113,0
